Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.195.136-192.178.24.196-37866-443-6,192.168.195.136,37866,192.178.24.196,443,6,24/04/2025 09:21:25 PM,1986579,59,78,3161,115798,1400,0,53.57627119,224.8771468,2800,0,1484.589744,918.451399,59881.33369,68.9627747,14607.19853,74311.8054,820405,0,1828905,31532.84483,112683.1623,820405,7,1921318,24952.18182,104574.9261,884816,0,0,0,0,0,1932,2516,29.69929713,39.26347757,0,2800,862.0217391,1001.543542,1003089.467,2,2,0,70,136,0,0,0,1,868.3138686,53.57627119,1484.589744,0,0,0,118959,76,67768,0,0,0,0,32120,1041,8,32,0,0,0,0,0,0,0,0,normal
192.168.195.136-192.178.24.195-54616-443-6,192.168.195.136,54616,192.178.24.195,443,6,24/04/2025 09:21:33 PM,522419,11,8,792,3477,517,0,72,158.0841548,2800,0,434.625,978.9053562,8171.601722,36.36927447,29023.27778,37628.00878,118278,1,450541,45054.1,56448.44709,181217,23,468937,66991,63071.56615,157635,1,0,0,0,0,360,264,21.05589575,15.31337872,0,2800,213.45,633.0665946,400773.3132,2,2,0,8,18,0,0,0,0,224.6842105,72,434.625,0,0,0,4269,8,11096,0,0,0,0,32120,1050,4,32,0,0,0,0,0,0,0,0,normal
192.168.195.136-142.250.102.84-59880-443-6,192.168.195.136,59880,142.250.102.84,443,6,24/04/2025 09:21:33 PM,661306,6,5,517,2831,517,0,86.16666667,211.0643662,2800,0,566.2,1248.804308,5062.709245,16.633752,66130.6,84071.905,189910,0,485286,97057.2,85598.22227,190005,21,471396,117849,137892.8251,262998,0,0,0,0,0,200,168,9.072955636,7.560796364,0,2800,279,807.5866404,652196.1818,2,2,0,3,10,0,0,0,0,304.3636364,86.16666667,566.2,0,0,0,0,0,0,0,0,0,0,32120,1050,1,32,0,0,0,0,0,0,0,0,normal
192.168.195.136-192.178.24.174-38980-443-6,192.168.195.136,38980,192.178.24.174,443,6,24/04/2025 09:21:42 PM,348056,11,8,792,5952,517,0,72,158.0841548,2800,0,744,998.2211321,19376.19234,54.58891673,19336.44444,32800.95934,107297,1,348056,34805.6,57379.64936,182900,31,291182,41597.42857,46609.46075,107297,1,0,0,0,0,348,264,31.60410968,22.98480704,0,2800,337.2,704.7306018,496645.2211,1,2,1,8,17,0,0,0,0,354.9473684,72,744,0,0,0,6744,9,23403,0,0,0,0,32120,1050,4,20,0,0,0,0,0,0,0,0,normal
192.178.24.174-192.168.195.136-443-38980-6,192.178.24.174,443,192.168.195.136,38980,6,24/04/2025 09:21:42 PM,23,2,1,0,0,0,0,0,0,0,0,0,0,0,130434.7826,11.5,14.8492424,22,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,20,86956.52174,43478.26087,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,normal
142.250.201.132-192.168.195.136-443-47598-6,142.250.201.132,443,192.168.195.136,47598,6,24/04/2025 09:21:46 PM,20,1,1,73,0,73,73,73,0,0,0,0,0,3650000,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,50000,50000,0,73,48.66666667,42.14656965,1776.333333,0,0,1,1,1,0,0,0,1,73,73,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,normal
192.178.24.206-192.168.195.136-443-56694-6,192.178.24.206,443,192.168.195.136,56694,6,24/04/2025 09:21:46 PM,30,1,1,73,0,73,73,73,0,0,0,0,0,2433333.333,66666.66667,30,0,30,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,33333.33333,33333.33333,0,73,48.66666667,42.14656965,1776.333333,0,0,1,1,1,0,0,0,1,73,73,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,normal
142.250.201.131-192.168.195.136-443-60970-6,142.250.201.131,443,192.168.195.136,60970,6,24/04/2025 09:21:46 PM,16,1,1,73,0,73,73,73,0,0,0,0,0,4562500,125000,16,0,16,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,62500,62500,0,73,48.66666667,42.14656965,1776.333333,0,0,1,1,1,0,0,0,1,73,73,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,normal
192.178.24.226-192.168.195.136-443-41362-6,192.178.24.226,443,192.168.195.136,41362,6,24/04/2025 09:21:46 PM,55,1,1,73,0,73,73,73,0,0,0,0,0,1327272.727,36363.63636,55,0,55,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,18181.81818,18181.81818,0,73,48.66666667,42.14656965,1776.333333,0,0,1,1,1,0,0,0,1,73,73,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,normal
142.250.181.163-192.168.195.136-443-35490-6,142.250.181.163,443,192.168.195.136,35490,6,24/04/2025 09:21:46 PM,20,1,1,73,0,73,73,73,0,0,0,0,0,3650000,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,50000,50000,0,73,48.66666667,42.14656965,1776.333333,0,0,1,1,1,0,0,0,1,73,73,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,normal
