Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.101.101.24-10.101.101.25-48066-80-6,10.101.101.24,48066,10.101.101.25,80,6,22/04/2025 06:43:17 AM,2704,4,2,346.0,0.0,346.0,0.0,86.5,173.0,0.0,0.0,0.0,0.0,127958.57988165681,2218.934911242604,540.8,513.8732333951633,1206.0,17.0,2681.0,893.6666666666666,270.56668925300716,1206.0,731.0,2687.0,2687.0,0.0,2687.0,2687.0,0,0,0,0,136,60,1479.2899408284025,739.6449704142012,0.0,346.0,49.42857142857143,130.77570766119263,17102.285714285714,1,2,1,1,4,0,0,0,0.0,57.666666666666664,86.5,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.24-10.101.101.25-48122-80-6,10.101.101.24,48122,10.101.101.25,80,6,22/04/2025 06:43:17 AM,6652,4,2,344.0,0.0,344.0,0.0,86.0,172.0,0.0,0.0,0.0,0.0,51713.770294648224,901.9843656043296,1330.4,2315.4024056306066,5448.0,0.0,6519.0,2173.0,2886.3435346472534,5448.0,0.0,6222.0,6222.0,0.0,6222.0,6222.0,0,0,0,0,136,60,601.3229104028864,300.6614552014432,0.0,344.0,49.14285714285714,130.01977871517417,16905.14285714286,1,2,1,1,4,0,0,0,0.0,57.333333333333336,86.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.24-10.101.101.25-47952-80-6,10.101.101.24,47952,10.101.101.25,80,6,22/04/2025 06:43:17 AM,28621,7,7,379.0,3245.0,379.0,0.0,54.14285714285714,143.24853527049711,1448.0,0.0,463.5714285714285,677.0898160861815,126620.31375563398,489.1513224555396,2201.6153846153848,5901.677876367893,21400.0,5.0,27921.0,4653.5,8393.792843524314,21400.0,190.0,28578.0,4763.0,8707.157239880304,22162.0,5.0,0,0,0,0,232,232,244.5756612277698,244.5756612277698,0.0,1448.0,241.60000000000002,501.6455493103245,251648.25714285718,2,2,0,4,13,0,0,0,1.0,258.85714285714283,54.142857142857146,463.57142857142856,0,0,0,3624,5,577437,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.24-10.101.101.25-48078-80-6,10.101.101.24,48078,10.101.101.25,80,6,22/04/2025 06:43:17 AM,16875,4,2,344.0,0.0,344.0,0.0,86.0,172.0,0.0,0.0,0.0,0.0,20385.185185185182,355.55555555555554,3375.0,7126.138259955388,16112.0,1.0,16844.0,5614.666666666666,9098.28172422317,16112.0,1.0,16838.0,16838.0,0.0,16838.0,16838.0,0,0,0,0,136,60,237.037037037037,118.5185185185185,0.0,344.0,49.14285714285714,130.01977871517417,16905.14285714286,1,2,1,1,4,0,0,0,0.0,57.333333333333336,86.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.24-10.101.101.25-48152-80-6,10.101.101.24,48152,10.101.101.25,80,6,22/04/2025 06:43:17 AM,16558,4,2,335.0,0.0,335.0,0.0,83.75,167.5,0.0,0.0,0.0,0.0,20231.91206667472,362.3626041792487,3311.6,7114.350413073565,16033.0,1.0,16533.0,5511.0,9115.72070655963,16033.0,1.0,16540.0,16540.0,0.0,16540.0,16540.0,0,0,0,0,136,60,241.57506945283248,120.78753472641624,0.0,335.0,47.85714285714286,126.61809845809113,16032.142857142857,1,2,1,1,4,0,0,0,0.0,55.833333333333336,83.75,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.24-10.101.101.25-48028-80-6,10.101.101.24,48028,10.101.101.25,80,6,22/04/2025 06:43:17 AM,24207,3,6,346.0,3245.0,346.0,0.0,115.33333333333333,199.7631931396105,1448.0,0.0,540.8333333333333,707.1052019796394,148345.51989094063,371.7932829346883,3025.875,5334.012840455379,15107.0,4.0,8902.0,4451.0,2657.3072836990455,6330.0,2572.0,23551.0,4710.2,6811.1926782319115,15107.0,4.0,0,0,0,0,104,200,123.93109431156277,247.86218862312555,0.0,1448.0,359.09999999999997,585.4894343861192,342797.8777777778,1,2,0,4,8,0,0,0,2.0,399.0,115.33333333333333,540.8333333333334,0,0,0,3591,5,234629,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.24-10.101.101.25-48178-80-6,10.101.101.24,48178,10.101.101.25,80,6,22/04/2025 06:43:17 AM,27826,4,2,376.0,0.0,376.0,0.0,94.0,187.99999999999997,0.0,0.0,0.0,0.0,13512.542226694459,215.6256738302307,5565.2,11475.122971018654,26085.0,53.0,27549.0,9183.0,14639.096522668331,26085.0,520.0,27773.0,27773.0,0.0,27773.0,27773.0,0,0,0,0,136,60,143.75044922015383,71.87522461007691,0.0,376.0,53.71428571428572,142.11464185146946,20196.57142857143,1,2,1,1,4,0,0,0,0.0,62.666666666666664,94.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.24-10.101.101.25-48124-80-6,10.101.101.24,48124,10.101.101.25,80,6,22/04/2025 06:43:17 AM,28572,4,2,340.0,0.0,340.0,0.0,85.0,170.0,0.0,0.0,0.0,0.0,11899.762004759905,209.99580008399832,5714.4,12144.846903110802,27435.0,0.0,28506.0,9502.0,15539.663027234536,27435.0,0.0,28081.0,28081.0,0.0,28081.0,28081.0,0,0,0,0,136,60,139.9972000559989,69.99860002799944,0.0,340.0,48.57142857142857,128.50792082313725,16514.285714285714,1,2,1,1,4,0,0,0,0.0,56.666666666666664,85.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.24-10.101.101.25-48168-80-6,10.101.101.24,48168,10.101.101.25,80,6,22/04/2025 06:43:17 AM,28124,4,2,340.0,0.0,340.0,0.0,85.0,170.0,0.0,0.0,0.0,0.0,12089.318731332669,213.34091878822358,5624.8,11543.901472206006,26261.0,35.0,28082.0,9360.666666666666,14636.156337417735,26261.0,877.0,28089.0,28089.0,0.0,28089.0,28089.0,0,0,0,0,136,60,142.22727919214907,71.11363959607453,0.0,340.0,48.57142857142857,128.50792082313725,16514.285714285714,1,2,1,1,4,0,0,0,0.0,56.666666666666664,85.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.24-10.101.101.25-48140-80-6,10.101.101.24,48140,10.101.101.25,80,6,22/04/2025 06:43:17 AM,28787,4,2,346.0,0.0,346.0,0.0,86.5,173.0,0.0,0.0,0.0,0.0,12019.314273804148,208.4274151526731,5757.4,11470.031791586282,26261.0,131.0,28656.0,9552.0,14470.971391029698,26261.0,1071.0,28274.0,28274.0,0.0,28274.0,28274.0,0,0,0,0,136,60,138.95161010178205,69.47580505089103,0.0,346.0,49.42857142857143,130.77570766119263,17102.285714285714,1,2,1,1,4,0,0,0,0.0,57.666666666666664,86.5,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
