Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.101.101.25-192.178.24.132-43446-443-6,10.101.101.25,43446,192.178.24.132,443,6,22/04/2025 07:02:49 AM,32199,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.17059536010436,16099.5,22718.633772742585,32164.0,35.0,32199.0,32199.0,0.0,32199.0,32199.0,0,0,0,0,0,0,0,0,0,60,40,62.11373024006957,31.056865120034786,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.25-192.178.24.132-43432-443-6,10.101.101.25,43432,192.178.24.132,443,6,22/04/2025 07:02:49 AM,184392,5,3,517.0,1400.0,517.0,0.0,103.4,231.2094288734783,1400.0,0.0,466.6666666666667,808.2903768654761,10396.329558766107,43.38583018786064,26341.714285714283,28830.780257185117,78532.0,45.0,184392.0,46098.0,31927.421808428775,78532.0,3911.0,142872.0,71436.0,69222.92545103826,120384.0,22488.0,0,0,0,0,156,104,27.1161438674129,16.269686320447743,0.0,1400.0,213.0,476.83435278930983,227371.0,1,2,1,1,6,0,0,0,0.0,239.625,103.4,466.6666666666667,0,0,0,0,0,0,0,0,0,0,32120,1050,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.178.24.132-10.101.101.25-443-43432-6,192.178.24.132,443,10.101.101.25,43432,6,22/04/2025 07:02:49 AM,34,3,1,2699.0,0.0,1400.0,0.0,899.6666666666667,780.769065302496,0.0,0.0,0.0,0.0,7.938235294117647E7,117647.05882352941,11.333333333333334,18.77054430040145,33.0,0.0,1.0,0.5,0.7071067811865476,1.0,0.0,0,0,0,0,0,1,0,0,0,96,20,88235.29411764706,29411.764705882353,0.0,1400.0,819.8,749.5066377291131,561760.2,1,0,1,2,3,0,0,0,0.0,1024.75,899.6666666666666,0.0,0,0,0,0,0,0,0,0,0,0,1050,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.25-192.178.24.132-43432-443-6,10.101.101.25,43432,192.178.24.132,443,6,22/04/2025 07:02:49 AM,25,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,80000.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,0,0,0,40,0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.25-192.178.24.132-43490-443-6,10.101.101.25,43490,192.178.24.132,443,6,22/04/2025 07:02:50 AM,34484,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.99686811274793,17242.0,24321.644845692488,34440.0,44.0,34484.0,34484.0,0.0,34484.0,34484.0,0,0,0,0,0,0,0,0,0,60,40,57.997912075165296,28.998956037582648,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.25-192.178.24.132-43452-443-6,10.101.101.25,43452,192.178.24.132,443,6,22/04/2025 07:02:49 AM,199805,5,2,517.0,2800.0,517.0,0.0,103.4,231.2094288734783,2800.0,0.0,1400.0,1979.8989873223331,16601.18615650259,35.03415830434674,33300.83333333333,44647.50394553616,120047.0,40.0,199805.0,49951.25,47061.94114409221,120047.0,19705.0,166442.0,166442.0,0.0,166442.0,166442.0,0,0,0,0,156,72,25.0243987888191,10.009759515527639,0.0,2800.0,414.625,980.6687131748417,961711.125,1,2,1,2,5,0,0,0,0.0,473.85714285714283,103.4,1400.0,0,0,0,0,0,0,0,0,0,0,32120,1050,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.178.24.132-10.101.101.25-443-43452-6,192.178.24.132,443,10.101.101.25,43452,6,22/04/2025 07:02:50 AM,13,1,1,1299.0,0.0,1299.0,1299.0,1299.0,0.0,0.0,0.0,0.0,0.0,9.992307692307693E7,153846.15384615384,13.0,0.0,13.0,13.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,76923.07692307692,76923.07692307692,0.0,1299.0,866.0,749.9779996773239,562467.0,0,0,1,1,1,0,0,0,1.0,1299.0,1299.0,0.0,0,0,0,0,0,0,0,0,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.25-172.217.18.131-51698-443-6,10.101.101.25,51698,172.217.18.131,443,6,22/04/2025 07:02:50 AM,75673,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.28851770116157,15134.6,17425.918951378146,35926.0,49.0,42108.0,21054.0,21101.480564168953,35975.0,6133.0,39747.0,19873.5,17269.66891691905,32085.0,7662.0,0,0,0,0,104,104,39.64425885058078,39.64425885058078,0.0,0.0,0.0,0.0,0.0,2,2,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,4589,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.25-172.217.18.131-51720-443-6,10.101.101.25,51720,172.217.18.131,443,6,22/04/2025 07:02:50 AM,77048,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.87353338178796,15409.6,16139.0232758987,32519.0,44.0,44710.0,22355.0,14436.292044704554,32563.0,12147.0,44529.0,22264.5,13768.076136483267,32000.0,12529.0,0,0,0,0,104,104,38.93676669089398,38.93676669089398,0.0,0.0,0.0,0.0,0.0,2,2,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,4589,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.101.101.25-192.178.24.132-43456-443-6,10.101.101.25,43456,192.178.24.132,443,6,22/04/2025 07:02:49 AM,208533,5,2,517.0,1400.0,517.0,0.0,103.4,231.2094288734783,1400.0,0.0,700.0,989.9494936611666,9192.789630418207,33.5678285930764,34755.5,38253.34248794476,104296.0,21.0,208533.0,52133.25,35098.49910727428,104296.0,30710.0,177818.0,177818.0,0.0,177818.0,177818.0,0,0,0,0,156,72,23.977020423625998,9.5908081694504,0.0,1400.0,239.62499999999997,502.55459902382745,252561.125,1,2,1,1,5,0,0,0,0.0,273.85714285714283,103.4,700.0,0,0,0,0,0,0,0,0,0,0,32120,1050,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
