Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.195.59-192.168.195.136-56004-80-6,192.168.195.59,56004,192.168.195.136,80,6,3/5/2025 8:06,18156,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,183079.9736,495.7038995,2269.5,5105.682409,14608,3,14655,7327.5,10355.57881,14650,5,18114,3622.8,6315.582016,14659,3,0,0,0,0,104,200,165.2346332,330.4692664,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,949443,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-56012-80-6,192.168.195.59,56012,192.168.195.136,80,6,3/5/2025 8:06,25238,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,131706.1574,356.6051193,3154.75,7071.74195,20165,4,4839,2419.5,3410.376006,4831,8,25207,5041.4,8709.535309,20165,4,0,0,0,0,104,200,118.8683731,237.7367462,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,162949,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-56014-80-6,192.168.195.59,56014,192.168.195.136,80,6,3/5/2025 8:06,12926,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,257156.1194,696.2710815,1615.75,2881.708409,6557,5,6597,3298.5,4656.298154,6591,6,12892,2578.4,3416.567986,6627,5,0,0,0,0,104,200,232.0903605,464.180721,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,525201,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-56028-80-6,192.168.195.59,56028,192.168.195.136,80,6,3/5/2025 8:06,5047,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,658609.0747,1783.237567,630.875,1196.949508,3382,3,3550,1775,2504.572219,3546,4,4883,976.6,1477.790682,3429,3,0,0,0,0,104,200,594.4125223,1188.825045,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,2220440,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-60576-80-6,192.168.195.59,60576,192.168.195.136,80,6,3/5/2025 8:06,8074,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,411691.8504,1114.689126,1009.25,2081.315707,5914,3,5948,2974,4200.21428,5944,4,8044,1608.8,2554.301216,5962,3,0,0,0,0,104,200,371.5630419,743.1260837,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1563499,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-60590-80-6,192.168.195.59,60590,192.168.195.136,80,6,3/5/2025 8:06,5788,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,574291.6379,1554.941258,723.5,1385.849301,3769,2,3797,1898.5,2680.641807,3794,3,5763,1152.6,1679.494358,3808,2,0,0,0,0,104,200,518.3137526,1036.627505,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1669512,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-60602-80-6,192.168.195.59,60602,192.168.195.136,80,6,3/5/2025 8:06,7063,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,470621.5489,1274.246071,882.875,1548.459459,3892,3,3927,1963.5,2768.323048,3921,6,7034,1406.8,1847.012507,3959,3,0,0,0,0,104,200,424.7486904,849.4973807,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1059948,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-60608-80-6,192.168.195.59,60608,192.168.195.136,80,6,3/5/2025 8:06,12782,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,260053.1998,704.1151619,1597.75,3045.943333,8724,5,8772,4386,6195.669617,8767,5,12739,2547.8,3667.385676,8775,10,0,0,0,0,104,200,234.705054,469.410108,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,828927,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-60616-80-6,192.168.195.59,60616,192.168.195.136,80,6,3/5/2025 8:06,4926,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,674786.8453,1827.040195,615.75,1129.31354,2953,2,2986,1493,2104.349781,2981,5,4898,979.6,1363.254305,2999,2,0,0,0,0,104,200,609.0133983,1218.026797,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1713402,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-60622-80-6,192.168.195.59,60622,192.168.195.136,80,6,3/5/2025 8:06,11425,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,290940.919,787.7461707,1428.125,2460.211457,5825,5,5875,2937.5,4147.181272,5870,5,11380,2276,2888.620605,5876,67,0,0,0,0,104,200,262.5820569,525.1641138,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,598918,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
