Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.195.59-192.168.195.136-59314-80-6,192.168.195.59,59314,192.168.195.136,80,6,3/5/2025 7:36,12021,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,276516.0968,748.6897929,1502.625,3018.023759,8434,2,3318,1659,2339.109232,3313,5,11973,2394.6,3657.273137,8434,2,0,0,0,0,104,200,249.5632643,499.1265286,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,381937,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-59322-80-6,192.168.195.59,59322,192.168.195.136,80,6,3/5/2025 7:36,11419,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,291093.7911,788.1600841,1427.375,3096.026068,8862,3,8895,4447.5,6284.057964,8891,4,11390,2278,3818.905079,8912,3,0,0,0,0,104,200,262.720028,525.440056,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1316957,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-41524-80-6,192.168.195.59,41524,192.168.195.136,80,6,3/5/2025 7:36,7517,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,442197.6852,1197.286151,939.625,1915.257233,5434,2,5466,2733,3859.388812,5462,4,7489,1497.8,2345.858734,5479,2,0,0,0,0,104,200,399.0953838,798.1907676,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1620672,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-41530-80-6,192.168.195.59,41530,192.168.195.136,80,6,3/5/2025 7:36,9212,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,360833.6952,976.9865393,1151.5,2225.513681,6238,3,6269,3134.5,4428.609771,6266,3,9184,1836.8,2692.335269,6285,5,0,0,0,0,104,200,325.6621798,651.3243595,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1129459,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-44440-80-6,192.168.195.59,44440,192.168.195.136,80,6,3/5/2025 7:36,4804,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,691923.3972,1873.438801,600.5,1077.165593,2763,2,2791,1395.5,1969.292386,2788,3,4779,955.8,1296.198557,2814,2,0,0,0,0,104,200,624.4796003,1248.959201,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1651266,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-44454-80-6,192.168.195.59,44454,192.168.195.136,80,6,3/5/2025 7:36,7173,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,463404.4333,1254.705144,896.625,1795.424895,5131,3,5160,2580,3643.014137,5156,4,7148,1429.6,2199.546953,5187,3,0,0,0,0,104,200,418.2350481,836.4700962,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1651266,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-44458-80-6,192.168.195.59,44458,192.168.195.136,80,6,3/5/2025 7:36,5919,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,561581.3482,1520.527116,739.875,1394.405397,3866,2,3894,1947,2749.231165,3891,3,5894,1178.8,1683.981651,3905,2,0,0,0,0,104,200,506.842372,1013.684744,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1641481,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-50338-80-6,192.168.195.59,50338,192.168.195.136,80,6,3/5/2025 7:37,10319,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,322124.2368,872.1775366,1289.875,2882.364676,8278,2,8317,4158.5,5875.350245,8313,4,10284,2056.8,3584.907209,8344,2,0,0,0,0,104,200,290.7258455,581.4516911,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1660339,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-50344-80-6,192.168.195.59,50344,192.168.195.136,80,6,3/5/2025 7:37,7698,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,431800.4677,1169.13484,962.25,1820.084358,4873,2,4903,2451.5,3461.287694,4899,4,7672,1534.4,2195.017608,4919,2,0,0,0,0,104,200,389.7116134,779.4232268,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,1189266,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
192.168.195.59-192.168.195.136-50358-80-6,192.168.195.59,50358,192.168.195.136,80,6,3/5/2025 7:37,9801,3,6,79,3245,79,0,26.33333333,45.61067127,1448,0,540.8333333,707.105202,339149.0664,918.2736455,1225.125,2192.462115,4872,2,4904,2452,3461.994801,4900,4,9773,1954.6,2620.555628,4966,2,0,0,0,0,104,200,306.0912152,612.1824304,0,1448,332.4,592.2027055,350704.0444,1,2,0,4,8,0,0,0,2,369.3333333,26.33333333,540.8333333,0,0,0,3324,5,678782,0,0,0,0,64240,249,1,32,0,0,0,0,0,0,0,0,
