Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,3/5/2025 7:52,119653207,9,0,0,0,0,0,0,0,0,0,0,0,0,0.075217374,1.50E+07,8923688.873,2.25E+07,1005840,1.20E+08,1.50E+07,8923688.873,2.25E+07,1005840,0,0,0,0,0,0,0,0,0,0,0,0.075217374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1297012,411779.3914,1588184,1005840,1.95E+07,3455258.068,2.25E+07,1.38E+07,
192.168.195.131-192.168.195.136-52061-80-6,192.168.195.131,52061,192.168.195.136,80,6,3/5/2025 7:55,19660,3,6,444,3245,444,0,148,256.3435195,1460,0,540.8333333,715.6944646,187639.8779,457.7822991,2457.5,5404.731551,15609,7,16015,8007.5,10750.14439,15609,406,19624,3924.8,6867.744113,16021,7,0,0,0,0,72,132,152.5940997,305.1881994,0,1460,368.9,591.8296395,350262.3222,1,2,0,4,8,0,0,0,2,409.8888889,148,540.8333333,0,0,0,3689,5,1012071,0,0,0,0,64240,249,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52062-80-6,192.168.195.131,52062,192.168.195.136,80,6,3/5/2025 7:55,21073,3,4,388,520,388,0,129.3333333,224.0119044,335,0,130,162.1213537,43088.31206,332.1786172,3512.166667,8013.975952,19867,46,706,353,49.49747468,388,318,21027,7009,11136.09029,19867,452,0,0,0,0,72,92,142.3622645,189.8163527,0,388,113.5,166.4486193,27705.14286,1,2,0,3,6,0,0,0,1,129.7142857,129.3333333,130,0,0,0,0,0,0,0,0,0,0,64240,249,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-224.0.0.251-5353-5353-17,192.168.195.131,5353,224.0.0.251,5353,17,3/5/2025 7:53,67346211,8,0,922,0,275,43,115.25,97.81870987,0,0,0,0,13.69045097,0.118789162,9620887.286,2.47E+07,6.56E+07,793,6.73E+07,9620887.286,2.47E+07,6.56E+07,793,0,0,0,0,0,0,0,0,0,64,0,0.118789162,0,43,275,125,96.06247967,9228,0,0,0,0,0,0,0,0,0,140.625,115.25,0,0,0,0,836,6,1103,4,461,0,0,0,0,7,8,757347,0,757347,757347,6.56E+07,0,6.56E+07,6.56E+07,
192.168.195.131-192.168.195.136-52083-80-6,192.168.195.131,52083,192.168.195.136,80,6,3/5/2025 7:55,6351,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,536136.0416,1417.099669,793.875,1548.188659,4434,2,4733,2366.5,2923.88654,4434,299,6322,1264.4,2036.935149,4744,2,0,0,0,0,72,132,472.3665564,944.7331129,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,2104449,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52084-80-6,192.168.195.131,52084,192.168.195.136,80,6,3/5/2025 7:55,4839,4,7,160,3245,160,0,40,80,1460,0,463.5714286,684.5689294,703657.7805,2273.196942,483.9,1214.529031,3931,5,4751,1583.666667,2301.170644,4240,198,4806,801,1543.089758,3931,5,0,0,0,0,92,152,826.6170696,1446.579872,0,1460,283.75,553.9550564,306866.2045,1,2,0,4,10,0,0,0,1,309.5454545,40,463.5714286,0,0,0,3405,5,798358,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52085-80-6,192.168.195.131,52085,192.168.195.136,80,6,3/5/2025 7:55,2549,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,1335817.968,3530.796391,318.625,636.2243399,1868,1,538,269,147.0782105,373,165,2522,504.4,790.7760745,1868,1,0,0,0,0,72,132,1176.93213,2353.86426,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,1693187,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52086-80-6,192.168.195.131,52086,192.168.195.136,80,6,3/5/2025 7:56,2228,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,1528276.481,4039.497307,278.5,530.3618711,1570,3,506,253,19.79898987,267,239,2198,439.6,662.1822257,1570,3,0,0,0,0,72,132,1346.499102,2692.998205,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,1977351,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52087-80-6,192.168.195.131,52087,192.168.195.136,80,6,3/5/2025 7:56,2700,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,1261111.111,3333.333333,337.5,674.2182775,1985,2,554,277,70.71067812,327,227,2673,534.6,838.9781284,1985,2,0,0,0,0,72,132,1111.111111,2222.222222,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,1586672,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52088-80-6,192.168.195.131,52088,192.168.195.136,80,6,3/5/2025 7:56,3762,4,7,160,3245,160,0,40,80,1460,0,463.5714286,684.5689294,905103.6683,2923.976608,376.2,805.6766376,2656,5,3472,1157.333333,1573.695121,2973,186,3735,622.5,1011.112407,2656,5,0,0,0,0,92,152,1063.264221,1860.712387,0,1460,283.75,553.9550564,306866.2045,1,2,0,4,10,0,0,0,1,309.5454545,40,463.5714286,0,0,0,3405,5,1080266,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52089-80-6,192.168.195.131,52089,192.168.195.136,80,6,3/5/2025 7:56,2330,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,1461373.391,3862.660944,291.25,555.0662123,1643,2,528,264,26.87005769,283,245,2304,460.8,694.6216236,1643,2,0,0,0,0,72,132,1287.553648,2575.107296,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,1889567,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52090-80-6,192.168.195.131,52090,192.168.195.136,80,6,3/5/2025 7:56,2603,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,1308106.032,3457.548982,325.375,658.1510763,1937,1,518,259,80.61017306,316,202,2559,511.8,820.0107926,1937,1,0,0,0,0,72,132,1152.516327,2305.032655,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,1633093,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52091-80-6,192.168.195.131,52091,192.168.195.136,80,6,3/5/2025 7:56,2618,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,1300611.154,3437.738732,327.25,648.3012417,1908,4,568,284,79.19595949,340,228,2590,518,808.0269179,1908,4,0,0,0,0,72,132,1145.912911,2291.825821,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,1660975,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52092-80-6,192.168.195.131,52092,192.168.195.136,80,6,3/5/2025 7:56,2756,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,1235486.212,3265.602322,344.5,709.4899576,2083,2,522,261,49.49747468,296,226,2730,546,882.8570099,2083,2,0,0,0,0,72,132,1088.534107,2177.068215,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,1524171,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
